State,N,P,K,pH
ANDAMAN & NICOBAR,31.79,20.8,26.86,7.0
ANDHRA PRADESH,36.47,45.75,62.55,7.0
ARUNACHAL PRADESH,64.4,42.16,50.13,7.0
ASSAM,77.33,51.26,36.71,5.5
BIHAR,41.91,54.92,52.8,7.0
CHHATTISGARH,36.32,36.3,58.91,7.0
GOA,56.11,41.0,59.18,7.0
GUJARAT,36.77,51.91,62.0,7.0
HARYANA,30.0,38.65,49.87,7.0
HIMACHAL PRADESH,45.6,44.91,58.04,7.0
JAMMU & KASHMIR,57.51,47.77,54.51,7.0
JHARKHAND,49.23,40.61,48.46,7.0
KARNATAKA,43.42,50.18,58.65,7.0
KERALA,30.0,51.18,51.07,7.0
MADHYA PRADESH,38.67,43.22,56.08,7.0
MAHARASHTRA,33.7,39.77,65.8,7.0
MANIPUR,45.0,40.0,50.0,8.5
MEGHALAYA,50.73,25.52,44.67,5.5
MIZORAM,40.3,39.66,57.92,7.0
NAGALAND,51.23,41.88,48.49,5.5
ODISHA,40.52,41.16,50.57,7.0
PUDUCHERRY,30.25,48.0,51.33,7.0
PUNJAB,35.67,39.07,42.96,7.0
RAJASTHAN,30.05,50.32,61.04,7.0
SIKKIM,48.34,54.65,55.15,7.0
TAMIL NADU,30.38,41.52,59.53,7.0
TELANGANA,35.62,53.11,60.61,7.0
TRIPURA,44.98,30.6,46.81,5.5
UTTAR PRADESH,31.53,40.05,49.52,7.0
UTTARAKHAND,37.17,47.39,50.48,7.0
WEST BENGAL,50.65,51.74,55.48,7.0
